ccn,facility_name,county_fips,state_abbr,county_name,county_name_norm,zip_code,certified_beds,avg_residents,overall_rating,latitude,longitude
335412,COOPERSTOWN CENTER FOR REHABILITATION AND NURSING,,NY,Otsego,OTSEGO,13326,174,166.4,2,42.6684,-74.953
335413,WASHINGTON CENTER FOR REHAB AND HEALTHCARE,,NY,Washington,WASHINGTON,12809,122,117.6,3,43.2445,-73.479
335415,"LAWRENCE NURSING CARE CENTER, INC",,NY,Queens,QUEENS,11692,200,194.8,1,40.5938,-73.784
335416,DRY HARBOR NURSING HOME,,NY,Queens,QUEENS,11379,305,305.0,5,40.7159,-73.883
335418,"NORTHERN RIVERVIEW HEALTH CARE, INC",,NY,Rockland,ROCKLAND,10927,182,176.8,1,41.1948,-73.96
335419,ST CATHERINE LABOURE HEALTH CARE CENTER,,NY,Erie,ERIE,14214,80,75.1,5,42.9301,-78.849
335421,TARRYTOWN HALL CARE CENTER,,NY,Westchester,WESTCHESTER,10591,120,113.7,3,41.0801,-73.861
335422,RIVER RIDGE LIVING CENTER,,NY,Montgomery,MONTGOMERY,12010,120,111.2,1,42.9372,-74.207
335423,PREMIER GENESEE CENTER FOR NRSG AND REHABILITATION,,NY,Genesee,GENESEE,14020,160,150.5,3,43.0088,-78.176
335424,MARTINE CENTER FOR REHABILITATION AND NURSING,,NY,Westchester,WESTCHESTER,10606,225,187.4,2,41.0253,-73.779
335425,SHAKER PLACE REHABILITATION AND NURSING CENTER,,NY,Albany,ALBANY,12211,250,243.3,2,42.7447,-73.815
335426,FRANKLIN CENTER FOR REHABILITATION AND NURSING,,NY,Queens,QUEENS,11355,305,311.5,5,40.754,-73.821
335427,ONEIDA HEALTH REHABILITATION AND EXTENDED CARE,,NY,Madison,MADISON,13421,160,149.1,1,43.0789,-75.655
335428,LEWIS COUNTY GENERAL HOSPITAL-NURSING HOME UNIT,,NY,Lewis,LEWIS,13367,160,106.0,2,43.7958,-75.498
335429,ELDERWOOD AT NORTH CREEK,,NY,Warren,WARREN,12853,82,72.8,3,43.7012,-73.991
335431,SAMARITAN KEEP NURSING HOME INC,,NY,Jefferson,JEFFERSON,13601,272,247.0,1,43.9645,-75.915
335432,LONG BEACH NURSING AND REHABILITATION CENTER,,NY,Nassau,NASSAU,11561,200,136.2,4,40.5942,-73.653
335433,MCAULEY RESIDENCE,,NY,Erie,ERIE,14217,160,139.3,5,42.978,-78.886
335434,LITTLE NECK CARE CENTER,,NY,Queens,QUEENS,11362,120,106.1,4,40.7619,-73.73
335435,JENNIE B RICHMOND CHAFFEE NURSING HOME COMPANY INC,,NY,Erie,ERIE,14141,80,40.9,3,42.5085,-78.659
335436,JAMAICA HOSPITAL NURSING HOME CO INC,,NY,Queens,QUEENS,11418,226,217.8,5,40.7011,-73.817
335437,ELLICOTT CENTER FOR REHABILITATION AND NURSING,,NY,Erie,ERIE,14201,160,155.1,1,42.8928,-78.886
335438,MEADOWBROOK HEALTHCARE,,NY,Clinton,CLINTON,12901,287,227.4,2,44.7031,-73.474
335439,The Pearl Nursing Center of Rochester,,NY,Monroe,MONROE,14621,120,104.6,1,43.1905,-77.584
335440,THE PINES AT POUGHKEEPSIE CTR FOR NURSING & REHAB,,NY,Dutchess,DUTCHESS,12601,200,194.5,4,41.696,-73.93
335441,CORTLANDT HEALTHCARE,,NY,Westchester,WESTCHESTER,10567,120,114.2,5,41.3121,-73.904
335442,CHAMPLAIN VALLEY PHYSICIANS HOSP MED CTR S N F,,NY,Clinton,CLINTON,12901,95,35.3,4,44.7,-73.467
335445,TRIBORO CENTER FOR REHABILITATION AND NURSING,,NY,Bronx,BRONX,10456,305,305.0,3,40.8316,-73.912
335446,CYPRESS GARDEN CENTER FOR NURSING AND REHAB,,NY,Queens,QUEENS,11354,278,260.1,5,40.7702,-73.826
335447,KING STREET HOME INC,,NY,Westchester,WESTCHESTER,10573,120,63.9,2,41.0274,-73.671
