county_fips,state_abbr,county_name,county_name_norm,year,total_population,pop_65_plus,pct_pop_65_plus
01099,AL,Monroe County,MONROE,2020,19704,3546,0.179963
01099,AL,Monroe County,MONROE,2021,19530,3515,0.17998
01099,AL,Monroe County,MONROE,2022,19403,3492,0.179972
01099,AL,Monroe County,MONROE,2023,19244,3464,0.180004
01099,AL,Monroe County,MONROE,2024,19057,3430,0.179986
01101,AL,Montgomery County,MONTGOMERY,2020,228363,41105,0.179999
01101,AL,Montgomery County,MONTGOMERY,2021,226811,40826,0.18
01101,AL,Montgomery County,MONTGOMERY,2022,226554,40780,0.180001
01101,AL,Montgomery County,MONTGOMERY,2023,225966,40674,0.180001
01101,AL,Montgomery County,MONTGOMERY,2024,225894,40661,0.18
01103,AL,Morgan County,MORGAN,2020,123329,22199,0.179998
01103,AL,Morgan County,MORGAN,2021,123270,22188,0.179995
01103,AL,Morgan County,MORGAN,2022,124218,22359,0.179998
01103,AL,Morgan County,MORGAN,2023,125455,22582,0.180001
01103,AL,Morgan County,MORGAN,2024,126084,22695,0.179999
01105,AL,Perry County,PERRY,2020,8456,1522,0.179991
01105,AL,Perry County,PERRY,2021,8314,1496,0.179937
01105,AL,Perry County,PERRY,2022,7898,1421,0.179919
01105,AL,Perry County,PERRY,2023,7772,1399,0.180005
01105,AL,Perry County,PERRY,2024,7719,1389,0.179946
01107,AL,Pickens County,PICKENS,2020,18962,3413,0.179992
01107,AL,Pickens County,PICKENS,2021,18615,3350,0.179962
01107,AL,Pickens County,PICKENS,2022,18780,3380,0.179979
01107,AL,Pickens County,PICKENS,2023,18741,3373,0.17998
01107,AL,Pickens County,PICKENS,2024,18508,3331,0.179976
01109,AL,Pike County,PIKE,2020,32904,5922,0.179978
01109,AL,Pike County,PIKE,2021,32748,5894,0.17998
01109,AL,Pike County,PIKE,2022,32998,5939,0.179981
01109,AL,Pike County,PIKE,2023,33163,5969,0.17999
01109,AL,Pike County,PIKE,2024,33124,5962,0.17999
01111,AL,Randolph County,RANDOLPH,2020,22093,3977,0.180012
